dataset,dataset_name,window_id,start_s,end_s,sample_rows,frame_count,vehicle_count,density_veh_per_m,flow_veh_per_s,mean_speed_kmh,std_speed_kmh,speed_ratio,mean_abs_acc,std_acc,mean_headway_s,min_headway_s,mean_space_gap_m,headway_sample_count,acceleration_interference,mgti,lane_change_count,lane_change_rate,hbb_occupancy,obb_occupancy,occupancy_reduction,hbb_hfgo_occupancy,hfgo_occupancy,hfgo_occupancy_reduction,hbb_grid_active_mean,obb_grid_active_mean,grid_active_reduction,hbb_grid_entropy_mean,obb_grid_entropy_mean,grid_entropy_reduction,hbb_grid_peak_frac_mean,obb_grid_peak_frac_mean,grid_peak_gain,direction_fluctuation,theta_conf_mean
xamn5,XAM-N-5,26,27.000,32.000,7484,150,65,0.464286,13.000000,30.813820,10.722008,0.513564,1.011142,1.524118,2.123828,0.009518,15.930881,5755,1.524118,2.5370874404907227,14,0.215385,0.06037969,0.05801768,0.03911935,0.06037969,0.06021395,0.00274496,1.483546,1.505971,-0.015116,0.059758,0.059789,-0.000533,0.885610,0.885827,0.000218,2.24459870,0.997671
xamn5,XAM-N-5,27,28.000,33.000,7375,150,64,0.457143,12.800000,31.077417,10.710382,0.517957,0.967406,1.497320,2.099002,0.009518,15.899807,5663,1.497320,2.398815155029297,16,0.250000,0.05900971,0.05686545,0.03633737,0.05900971,0.05888866,0.00205136,1.478068,1.501884,-0.016113,0.059411,0.059449,-0.000641,0.886552,0.886781,0.000229,2.19307784,0.998789
xamn5,XAM-N-5,28,29.000,34.000,7258,150,61,0.435714,12.200000,31.277285,10.749949,0.521288,0.947947,1.488860,2.163249,0.017044,16.292145,5537,1.488860,2.2766172885894775,16,0.262295,0.05739087,0.05545615,0.03371129,0.05739087,0.05731137,0.00138538,1.479951,1.503079,-0.015628,0.059523,0.059541,-0.000293,0.886342,0.886587,0.000245,2.16173122,0.998768
xamn5,XAM-N-5,29,30.000,35.000,7122,150,63,0.450000,12.600000,31.626360,10.844258,0.527106,0.961208,1.535887,2.201900,0.017044,16.629997,5396,1.535887,2.306567907333374,14,0.222222,0.05565751,0.05384623,0.03254329,0.05565751,0.05563600,0.00038648,1.486415,1.509544,-0.015561,0.059881,0.059907,-0.000435,0.885509,0.885717,0.000208,2.19525080,0.999812
xamn5,XAM-N-5,30,31.000,36.000,6973,150,63,0.450000,12.600000,31.611090,11.134470,0.526851,0.983438,1.565325,2.375113,0.020243,17.018223,5287,1.565325,2.440347194671631,15,0.238095,0.05403320,0.05235847,0.03099447,0.05403320,0.05403320,0.00000000,1.490118,1.515712,-0.017176,0.060909,0.060997,-0.001439,0.882853,0.883048,0.000196,2.20470737,0.999872
xamn5,XAM-N-5,31,32.000,37.000,6779,150,58,0.414286,11.600000,31.621767,11.444424,0.527029,0.983700,1.578275,2.499978,0.020243,17.606436,5109,1.578275,2.324803352355957,14,0.241379,0.05251580,0.05093713,0.03006096,0.05251580,0.05251580,0.00000000,1.463789,1.489393,-0.017491,0.057782,0.057905,-0.002121,0.888731,0.888875,0.000144,2.14889880,0.999803
xamn5,XAM-N-5,32,33.000,38.000,6593,150,58,0.414286,11.600000,31.675171,11.762145,0.527920,1.019806,1.638925,2.634233,0.035376,18.413267,4968,1.638925,2.4157063961029053,12,0.206897,0.05109356,0.04955813,0.03005131,0.05109356,0.05107706,0.00032291,1.475789,1.501203,-0.017220,0.058616,0.058737,-0.002059,0.887870,0.888046,0.000176,2.14793170,0.999865
xamn5,XAM-N-5,33,34.000,39.000,6499,150,60,0.428571,12.000000,31.573456,12.135985,0.526224,1.028463,1.643818,2.717460,0.035376,19.166716,4946,1.643818,2.5680811405181885,10,0.166667,0.05041381,0.04886681,0.03068604,0.05041381,0.05034704,0.00132430,1.453380,1.480391,-0.018585,0.055864,0.055970,-0.001895,0.893255,0.893466,0.000211,2.08632306,0.998833
xamn5,XAM-N-5,34,35.000,40.000,6407,150,57,0.407143,11.400000,31.405859,12.760802,0.523431,1.036788,1.648115,2.855710,0.121801,20.172613,4884,1.648115,2.59419584274292,11,0.192982,0.04978850,0.04819626,0.03198008,0.04978850,0.04972174,0.00134093,1.436378,1.464396,-0.019506,0.053552,0.053679,-0.002378,0.898202,0.898406,0.000204,1.98883530,0.998467
xamn5,XAM-N-5,35,36.000,41.000,6344,150,59,0.421429,11.800000,31.164297,13.209985,0.519405,1.022986,1.636538,2.863029,0.002263,20.700005,4776,1.636538,2.6923959255218506,11,0.186441,0.04954965,0.04782269,0.03485320,0.04954965,0.04948289,0.00134740,1.443159,1.468022,-0.017228,0.053938,0.053967,-0.000531,0.897766,0.898099,0.000333,1.89846483,0.998452
xamn5,XAM-N-5,36,37.000,42.000,6357,150,58,0.414286,11.600000,31.036736,13.796914,0.517279,1.037016,1.661696,2.908421,0.002263,21.178040,4759,1.661696,2.7260630130767822,9,0.155172,0.04989560,0.04803253,0.03733937,0.04989560,0.04980464,0.00182298,1.462307,1.486343,-0.016437,0.056766,0.056738,0.000489,0.892235,0.892648,0.000413,1.88846364,0.998525
xamn5,XAM-N-5,37,38.000,43.000,6313,150,55,0.392857,11.000000,30.678596,14.357599,0.511310,1.034215,1.650346,2.941844,0.002263,21.012699,4666,1.650346,2.670290231704712,7,0.127273,0.04979936,0.04782045,0.03973761,0.04979936,0.04967335,0.00253036,1.453231,1.477126,-0.016443,0.055790,0.055753,0.000669,0.893237,0.893613,0.000376,1.86827344,0.998514
xamn5,XAM-N-5,38,39.000,44.000,6301,150,57,0.407143,11.400000,30.486034,15.007934,0.508101,1.071970,1.752421,2.908287,0.002263,20.888100,4561,1.752421,2.735305070877075,10,0.175439,0.04998494,0.04791887,0.04133397,0.04998494,0.04987183,0.00226293,1.449606,1.471496,-0.015101,0.055389,0.055326,0.001139,0.894181,0.894561,0.000380,1.86049635,0.999575
