dataset,dataset_name,window_id,start_s,end_s,sample_rows,frame_count,vehicle_count,density_veh_per_m,flow_veh_per_s,mean_speed_kmh,std_speed_kmh,speed_ratio,mean_abs_acc,std_acc,mean_headway_s,min_headway_s,mean_space_gap_m,headway_sample_count,acceleration_interference,mgti,lane_change_count,lane_change_rate,hbb_occupancy,obb_occupancy,occupancy_reduction,hbb_hfgo_occupancy,hfgo_occupancy,hfgo_occupancy_reduction,hbb_grid_active_mean,obb_grid_active_mean,grid_active_reduction,hbb_grid_entropy_mean,obb_grid_entropy_mean,grid_entropy_reduction,hbb_grid_peak_frac_mean,obb_grid_peak_frac_mean,grid_peak_gain,sgt_hfgo,direction_fluctuation,theta_conf_mean
pkdd8,PKDD-8,16,18.000,23.000,3311,150,27,0.096429,5.400000,66.861679,15.859105,0.835771,0.261044,0.340688,2.454617,0.330608,47.685890,1969,0.340688,-2.744154930114746,9,0.333333,0.00644730,0.00644730,-0.00000016,0.00644730,0.00644712,0.00002762,1.168536,1.170262,-0.001477,0.021607,0.021561,0.002141,0.958147,0.958241,0.000093,0.00287101,2.26208665,0.999612
pkdd8,PKDD-8,17,19.000,24.000,3477,150,30,0.107143,6.000000,67.362808,15.547343,0.842035,0.269239,0.350246,2.522840,0.330608,49.530624,2127,0.350246,-2.6358537673950195,10,0.333333,0.00658693,0.00658693,0.00000031,0.00658693,0.00658675,0.00002641,1.169711,1.170835,-0.000961,0.022050,0.022012,0.001720,0.957185,0.957268,0.000083,0.00327493,2.57290228,0.999115
pkdd8,PKDD-8,18,20.000,25.000,3559,150,30,0.107143,6.000000,67.577171,15.350150,0.844715,0.266514,0.344297,2.603465,0.330608,51.486553,2222,0.344297,-2.5561532974243164,16,0.533333,0.00668893,0.00668893,0.00000046,0.00668893,0.00668876,0.00002585,1.166115,1.167219,-0.000947,0.021612,0.021576,0.001659,0.957973,0.958056,0.000084,0.00319117,3.19100800,0.999131
pkdd8,PKDD-8,19,21.000,26.000,3624,150,32,0.114286,6.400000,67.852730,15.221820,0.848159,0.257720,0.331058,2.557828,0.330608,50.935074,2317,0.331058,-2.5798516273498535,16,0.500000,0.00682108,0.00682108,-0.00000015,0.00682108,0.00682105,0.00000422,1.165495,1.166306,-0.000696,0.021644,0.021613,0.001439,0.957951,0.958026,0.000075,0.00326278,2.73004595,0.999026
pkdd8,PKDD-8,20,22.000,27.000,3698,150,31,0.110714,6.200000,67.978226,15.090195,0.849728,0.250354,0.322428,2.506642,0.520693,50.114620,2421,0.322428,-2.6609256267547607,15,0.483871,0.00690894,0.00690894,0.00000052,0.00690894,0.00690887,0.00001058,1.169437,1.171046,-0.001375,0.022179,0.022141,0.001709,0.956836,0.956933,0.000096,0.00348182,2.62739002,0.999035
pkdd8,PKDD-8,21,23.000,28.000,3730,150,32,0.114286,6.400000,68.155846,14.993853,0.851948,0.246674,0.319080,2.447237,0.548586,49.295338,2483,0.319080,-2.7206170558929443,8,0.250000,0.00684698,0.00684698,0.00000008,0.00684698,0.00684688,0.00001541,1.166350,1.168521,-0.001861,0.021878,0.021848,0.001379,0.957343,0.957430,0.000087,0.00383643,2.68373116,0.999145
pkdd8,PKDD-8,22,24.000,29.000,3685,150,33,0.117857,6.600000,68.179733,15.045631,0.852247,0.241068,0.312926,2.399556,0.541802,48.297920,2468,0.312926,-2.7547926902770996,10,0.303030,0.00686145,0.00686145,-0.00000022,0.00686145,0.00686134,0.00001537,1.161484,1.163666,-0.001879,0.021089,0.021058,0.001474,0.959039,0.959130,0.000090,0.00362715,2.48295468,0.999509
pkdd8,PKDD-8,23,25.000,30.000,3666,150,32,0.114286,6.400000,68.185760,14.998354,0.852322,0.241891,0.318908,2.418695,0.541802,48.547218,2466,0.318908,-2.758918285369873,14,0.437500,0.00671879,0.00671879,-0.00000038,0.00671879,0.00671868,0.00001570,1.167982,1.170800,-0.002413,0.021895,0.021863,0.001465,0.957497,0.957592,0.000094,0.00369197,2.31249363,0.999493
pkdd8,PKDD-8,24,26.000,31.000,3548,150,30,0.107143,6.000000,67.966255,15.072689,0.849578,0.237008,0.314925,2.472903,0.541802,49.240936,2348,0.314925,-2.7304623126983643,14,0.466667,0.00655364,0.00655364,0.00000000,0.00655364,0.00655356,0.00001170,1.172515,1.175146,-0.002244,0.022231,0.022193,0.001693,0.957106,0.957212,0.000106,0.00339134,2.21067077,0.999737
pkdd8,PKDD-8,25,27.000,32.000,3420,150,32,0.114286,6.400000,67.755096,15.118869,0.846939,0.244275,0.327103,2.579239,0.541802,50.690884,2217,0.327103,-2.5661861896514893,13,0.406250,0.00638469,0.00638469,-0.00000024,0.00638469,0.00638466,0.00000508,1.169548,1.171065,-0.001297,0.021929,0.021900,0.001314,0.957777,0.957860,0.000083,0.00326533,2.23662983,0.999727
