dataset,dataset_name,window_id,start_s,end_s,sample_rows,frame_count,vehicle_count,density_veh_per_m,flow_veh_per_s,mean_speed_kmh,std_speed_kmh,speed_ratio,mean_abs_acc,std_acc,mean_headway_s,min_headway_s,mean_space_gap_m,headway_sample_count,acceleration_interference,mgti,lane_change_count,lane_change_rate,hbb_occupancy,obb_occupancy,occupancy_reduction,hbb_hfgo_occupancy,hfgo_occupancy,hfgo_occupancy_reduction,hbb_grid_active_mean,obb_grid_active_mean,grid_active_reduction,hbb_grid_entropy_mean,obb_grid_entropy_mean,grid_entropy_reduction,hbb_grid_peak_frac_mean,obb_grid_peak_frac_mean,grid_peak_gain,sgt_hfgo,direction_fluctuation,theta_conf_mean
xamn6,XAM-N-6,124,190.000,195.000,17889,300,74,0.528571,14.800000,22.755638,11.867620,0.379261,0.920118,5.449673,2.118016,0.000026,11.204110,14788,5.449673,4.348090648651123,18,0.243243,0.08137835,0.08137836,-0.00000010,0.08137835,0.08137835,0.00000000,1.621387,1.654928,-0.020686,0.074645,0.074710,-0.000870,0.858151,0.859272,0.001121,0.02785853,1.87079798,0.999723
xamn6,XAM-N-6,125,191.000,196.000,17862,300,73,0.521429,14.600000,22.170382,11.875342,0.369506,0.915894,5.443987,2.202612,0.000026,11.151294,14761,5.443987,4.4574785232543945,12,0.164384,0.08153360,0.08153360,0.00000000,0.08153360,0.08153360,0.00000000,1.629941,1.667395,-0.022979,0.075647,0.075993,-0.004569,0.856097,0.856744,0.000647,0.02873219,1.85411706,0.998111
xamn6,XAM-N-6,126,192.000,197.000,17889,300,75,0.535714,15.000000,21.753239,12.009594,0.362554,0.940577,5.466677,2.334397,0.000016,11.552007,14743,5.466677,4.7270989418029785,14,0.186667,0.08179669,0.08179670,-0.00000010,0.08179669,0.08179669,0.00000000,1.650176,1.688188,-0.023035,0.078687,0.079345,-0.008358,0.849410,0.849660,0.000251,0.02751397,1.86761078,0.995799
xamn6,XAM-N-6,127,193.000,198.000,17881,300,72,0.514286,14.400000,21.228918,12.200398,0.353815,0.806058,1.574640,2.423650,0.000016,11.917189,14650,1.574640,4.729835510253906,13,0.180556,0.08119839,0.08119839,0.00000000,0.08119839,0.08119839,0.00000000,1.652984,1.698842,-0.027743,0.079327,0.080545,-0.015360,0.847692,0.847545,-0.000147,0.02684684,1.85719228,0.991544
xamn6,XAM-N-6,128,194.000,199.000,17841,300,72,0.514286,14.400000,20.759121,12.498517,0.345985,0.780152,1.549857,2.504371,0.000016,12.207147,14519,1.549857,4.8286051750183105,15,0.208333,0.08038639,0.08038639,0.00000000,0.08038639,0.08038639,0.00000000,1.619696,1.668741,-0.030280,0.074610,0.076453,-0.024712,0.856584,0.855872,-0.000712,0.02607379,1.84380026,0.986834
xamn6,XAM-N-6,129,195.000,200.000,17859,300,73,0.521429,14.600000,20.403362,12.906321,0.340056,0.751379,1.527699,2.639264,0.000016,12.676846,14422,1.527699,5.001943588256836,14,0.191781,0.07916363,0.07916364,-0.00000010,0.07916363,0.07916363,0.00000000,1.624167,1.671426,-0.029097,0.074996,0.077321,-0.030999,0.855550,0.854255,-0.001295,0.02573182,1.82535004,0.980094
xamn6,XAM-N-6,130,196.000,201.000,17803,300,75,0.535714,15.000000,20.085783,13.298163,0.334763,0.707850,1.481949,2.742065,0.000016,13.126698,14210,1.481949,5.159914970397949,15,0.200000,0.07751293,0.07751293,0.00000000,0.07751293,0.07751293,0.00000000,1.597371,1.646015,-0.030452,0.070733,0.073719,-0.042210,0.864725,0.862552,-0.002173,0.02703689,1.80120008,0.977580
xamn6,XAM-N-6,131,197.000,202.000,17684,300,74,0.528571,14.800000,19.658339,13.737122,0.327639,0.673670,1.420734,2.792593,0.022499,13.084394,13945,1.420734,5.146399974822998,19,0.256757,0.07573515,0.07573514,0.00000011,0.07573515,0.07573515,0.00000000,1.579846,1.637073,-0.036223,0.068452,0.071996,-0.051773,0.870473,0.867708,-0.002765,0.02581353,1.76804055,0.974910
xamn6,XAM-N-6,132,198.000,203.000,17795,300,74,0.528571,14.800000,19.464861,14.240255,0.324414,0.663021,1.425450,2.928936,0.022499,12.982720,13956,1.425450,5.305389404296875,21,0.283784,0.07550779,0.07550778,0.00000011,0.07550779,0.07550779,0.00000000,1.568474,1.627817,-0.037835,0.068217,0.071922,-0.054303,0.870495,0.867573,-0.002923,0.02635305,1.76995948,0.971298
xamn6,XAM-N-6,133,199.000,204.000,18258,300,76,0.542857,15.200000,19.484032,14.771370,0.324734,0.691414,1.497897,3.033471,0.004242,12.954987,14285,1.497897,5.541348934173584,20,0.263158,0.07666347,0.07666347,0.00000000,0.07666347,0.07666347,0.00000000,1.589331,1.659985,-0.044455,0.071933,0.075485,-0.049378,0.863100,0.861197,-0.001903,0.02680308,1.80086953,0.968994
xamn6,XAM-N-6,134,200.000,205.000,18717,300,78,0.557143,15.600000,19.295542,15.221744,0.321592,0.753765,4.677423,3.181364,0.004242,12.626758,14624,4.677423,5.84485387802124,22,0.282051,0.07787361,0.07787360,0.00000010,0.07787361,0.07787361,0.00000000,1.594647,1.680718,-0.053975,0.072293,0.075655,-0.046498,0.863176,0.862151,-0.001025,0.02740696,1.81606453,0.969250
xamn6,XAM-N-6,135,201.000,206.000,19233,300,76,0.542857,15.200000,19.073862,15.577647,0.317898,0.740450,4.611850,3.252225,0.004242,12.259847,14935,4.611850,5.913459777832031,23,0.302632,0.07922120,0.07922119,0.00000010,0.07922120,0.07922120,0.00000000,1.606614,1.697135,-0.056343,0.074035,0.076532,-0.033719,0.860312,0.861210,0.000898,0.02850762,1.84584498,0.966916
xamn6,XAM-N-6,136,202.000,207.000,19660,300,75,0.535714,15.000000,18.787430,15.785028,0.313124,0.728150,4.551062,3.387367,0.004242,11.952615,15169,4.551062,6.083644866943359,17,0.226667,0.08017911,0.08017909,0.00000020,0.08017911,0.08017911,0.00000000,1.594964,1.688403,-0.058583,0.071716,0.073423,-0.023792,0.864978,0.867845,0.002867,0.02987602,1.86214467,0.963950
xamn6,XAM-N-6,137,203.000,208.000,20010,300,79,0.564286,15.800000,18.452612,15.969170,0.307544,0.716085,4.498032,3.611394,0.004242,11.684053,15406,4.498032,6.538450241088867,14,0.177215,0.08074125,0.08074124,0.00000010,0.08074125,0.08074125,0.00000000,1.600250,1.702599,-0.063958,0.072382,0.073686,-0.018005,0.863949,0.868299,0.004350,0.02920225,1.88746722,0.963591
xamn6,XAM-N-6,138,204.000,209.000,20177,300,81,0.578571,16.200000,17.952456,16.072628,0.299208,0.668655,4.430246,3.803245,0.180086,11.539326,15480,4.430246,6.866106033325195,11,0.135802,0.08058614,0.08058614,0.00000000,0.08058614,0.08058614,0.00000000,1.593299,1.703821,-0.069367,0.071594,0.072776,-0.016504,0.865592,0.870704,0.005112,0.02777385,1.90129732,0.959030
xamn6,XAM-N-6,139,205.000,210.000,20235,300,79,0.564286,15.800000,17.528286,16.151602,0.292138,0.585506,1.116512,4.012323,0.180086,11.380802,15456,1.116512,7.04872989654541,13,0.164557,0.08042023,0.08042023,0.00000000,0.08042023,0.08042023,0.00000000,1.575636,1.694934,-0.075714,0.069825,0.070876,-0.015060,0.868691,0.874950,0.006259,0.02775190,1.93469028,0.953165
xamn6,XAM-N-6,140,206.000,211.000,20241,300,78,0.557143,15.600000,17.041607,16.165728,0.284027,0.613279,1.233060,4.293312,0.180086,11.127749,15377,1.233060,7.354915142059326,14,0.179487,0.08023377,0.08023377,0.00000000,0.08023377,0.08023377,0.00000000,1.556445,1.692456,-0.087386,0.067947,0.069917,-0.028980,0.871104,0.876893,0.005789,0.02821013,1.92901757,0.946643
xamn6,XAM-N-6,141,207.000,212.000,20418,300,80,0.571429,16.000000,16.679569,16.241459,0.277993,0.614978,1.235518,4.672339,0.150864,10.991009,15502,1.235518,7.901556968688965,16,0.200000,0.08069761,0.08069761,0.00000000,0.08069761,0.08069761,0.00000000,1.547948,1.692428,-0.093337,0.067679,0.070414,-0.040421,0.870340,0.875592,0.005252,0.02519951,1.92551789,0.943183
xamn6,XAM-N-6,142,208.000,213.000,20555,300,85,0.607143,17.000000,16.325974,16.324711,0.272100,0.613961,1.248094,4.907305,0.027840,10.971379,15328,1.248094,8.399086952209473,14,0.164706,0.08098217,0.08098217,0.00000000,0.08098217,0.08098217,0.00000000,1.536123,1.683921,-0.096215,0.066172,0.069563,-0.051243,0.872832,0.877806,0.004974,0.02460835,1.97241991,0.938679
xamn6,XAM-N-6,143,209.000,214.000,20594,300,83,0.592857,16.600000,16.155388,16.591043,0.269256,0.598227,1.214869,5.212543,0.027840,10.684450,15135,1.214869,8.667001724243164,21,0.253012,0.08081487,0.08081487,-0.00000010,0.08081487,0.08081487,0.00000000,1.516850,1.675634,-0.104680,0.064113,0.068517,-0.068682,0.876746,0.880933,0.004187,0.02610187,1.99214598,0.935102
xamn6,XAM-N-6,144,210.000,215.000,20703,300,83,0.592857,16.600000,15.923121,16.718025,0.265385,0.593931,1.163001,5.484865,0.008764,10.268779,15220,1.163001,9.009953498840332,16,0.192771,0.08139218,0.08139218,0.00000000,0.08139218,0.08139218,0.00000000,1.516833,1.689224,-0.113652,0.064835,0.070162,-0.082170,0.874352,0.878224,0.003872,0.02563181,2.04744356,0.936792
xamn6,XAM-N-6,145,211.000,216.000,20886,300,83,0.592857,16.600000,15.769801,16.918058,0.262830,0.575348,1.124525,5.769218,0.003949,10.230947,15175,1.124525,9.386526107788086,13,0.156627,0.08269327,0.08269327,0.00000000,0.08269327,0.08269327,0.00000000,1.527243,1.711194,-0.120446,0.066921,0.073244,-0.094488,0.870106,0.873366,0.003260,0.02814619,2.14526702,0.940039
xamn6,XAM-N-6,146,212.000,217.000,21073,300,84,0.600000,16.800000,15.707241,17.171618,0.261787,0.597369,1.297958,5.871942,0.000114,10.343206,14890,1.297958,9.596990585327148,46,0.547619,0.08409074,0.08409074,0.00000000,0.08409074,0.08409074,0.00000000,1.526835,1.726807,-0.130971,0.067717,0.074980,-0.107256,0.867757,0.870559,0.002802,0.03088133,2.28626887,0.940379
xamn6,XAM-N-6,147,213.000,218.000,21240,300,81,0.578571,16.200000,15.514392,17.344650,0.258573,0.579638,1.284021,6.091098,0.000114,10.240145,14857,1.284021,9.788158416748047,60,0.740741,0.08543483,0.08543483,0.00000000,0.08543483,0.08543483,0.00000000,1.529614,1.735452,-0.134569,0.068453,0.075843,-0.107956,0.865917,0.868835,0.002918,0.03060660,2.40633477,0.936631
xamn6,XAM-N-6,148,214.000,219.000,21300,300,80,0.571429,16.000000,15.085220,17.321302,0.251420,0.551347,1.298253,6.342703,0.000114,10.313158,14712,1.298253,10.102622032165527,52,0.650000,0.08647719,0.08647720,-0.00000009,0.08647719,0.08647719,0.00000000,1.534413,1.735258,-0.130894,0.069364,0.076517,-0.103124,0.863436,0.866879,0.003444,0.03056630,2.28200774,0.935584
xamn6,XAM-N-6,149,215.000,220.000,21306,300,85,0.607143,17.000000,14.735755,17.451155,0.245596,0.524593,1.290287,6.592524,0.000114,10.874777,14452,1.290287,10.62750244140625,51,0.600000,0.08706367,0.08706368,-0.00000009,0.08706367,0.08706367,0.00000000,1.528349,1.727401,-0.130240,0.069297,0.076284,-0.100828,0.862947,0.867072,0.004126,0.03007880,2.01615041,0.931716
xamn6,XAM-N-6,150,216.000,221.000,21184,300,83,0.592857,16.600000,14.346122,17.581360,0.239102,0.483458,1.162119,6.731567,0.000114,11.021392,14249,1.162119,10.725194931030273,51,0.614458,0.08678048,0.08678049,-0.00000009,0.08678048,0.08678048,0.00000000,1.521714,1.725972,-0.134229,0.068756,0.074591,-0.084864,0.863717,0.870307,0.006590,0.03023426,1.84342823,0.927011
